"Período";"Deflator do PIB";"PIBreal (PIB a preços do ano anterior)";"{- (X/Px)}";"{+ (M/Pm)}";"(= Absorção Interna)";"{+ (X/Pa)}";"{- (M/Pa)}";"(= RIBreal)";"GC";"GC/PIB";"Var. Real (%) PIB";"Var. Real (%) RIB";"GC(%) do PIB";"Termos de Troca";"Índice PIB (1947=100)";"Índice RIB (1947=100)";"Pa calculado";"Pa calculado - %"
1947;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;100;NA
1948;1,05916568997699;7,12052727272727e-05;8,0564781346139e-06;7,1227928747705e-06;7,02715874674293e-05;7,86877561709288e-06;7,18453425908481e-06;7,09558288254374e-05;-2,49443901835338e-07;-0,00350316616005035;0,097;0,0931570267224249;-0,00384297327757509;0,968308232281076;109,7;109,315702672242;99,649683383995;-0,00350316616005031
1949;1,08295749917849;8,12253818181818e-05;7,50117128774934e-06;7,39635698173495e-06;8,11205675121674e-05;7,21892467513078e-06;7,11819549361733e-06;8,12212966936809e-05;-4,08512450093563e-09;-5,02936940337189e-05;0,077;0,0769458336915256;-5,41663084743932e-05;0,999980152829221;118,1469;117,727090549933;99,6446716333083;-5,02936940337539e-05
1950;1,08961049618114;9,39451636363637e-05;6,29721082883051e-06;8,63691460188036e-06;9,62848674094136e-05;9,00280890217981e-06;7,43861430527598e-06;9,78490620063174e-05;3,90389836995368e-06;0,0415550755232554;0,068;0,112380820658837;0,044380820658837;1,65995525912195;126,1808892;130,957357599712;103,78541348852;0,0415550755232552
1951;1,18119768975612;0,000107379454545455;1,03276832674766e-05;1,08994511407275e-05;0,000107951222418706;1,01984375381461e-05;1,19641371716162e-05;0,000106185522785236;-1,19393176021917e-06;-0,0111188100672812;0,0490000000000001;0,0373363682394217;-0,0116636317605784;0,899609380220496;132,3637527708;135,846829726716;102,631443188187;-0,0111188100672815
1952;1,09602246979659;0,000136095418181818;1,06528683181225e-05;1,36288224266373e-05;0,000139071372290333;9,56383636808069e-06;1,33563921692162e-05;0,000135278816489197;-8,16601692620668e-07;-0,00600021443432961;0,073;0,0665617699119638;-0,00643823008803619;0,916082842133559;142,026306723068;144,889035150256;102,015632521353;-0,00600021443432974
1953;1,13975198810467;0,000156174327272727;5,71353919161265e-06;5,01045549848637e-06;0,000155471243579601;1,0362610746226e-05;8,79057382187592e-06;0,000157043280503951;8,68953231223751e-07;0,0055639953531306;0,047;0,0528255031347278;0,0058255031347278;1,03377007897749;148,701543139053;152,542871330773;102,583247026649;0,00556399535313057
1954;1,27198060949703;0,000191884;9,05866912568856e-06;1,17101145420761e-05;0,000194535445416388;1,29651710125769e-05;1,32545721512505e-05;0,000194246044277714;2,36204427771393e-06;0,0123097510877089;0,078;0,0912699116725504;0,0132699116725504;1,26447218971491;160,300263503899;166,46544572341;103,846021263316;0,012309751087709
1955;1,11562149442614;0,000265551127272727;2,37532985503528e-05;1,72213727627591e-05;0,000259019201485133;1,98999040111676e-05;1,78490282354595e-05;0,000261070077260841;-4,48105001188561e-06;-0,0168745282985881;0,088;0,069640513211136;-0,018359486788864;0,80831426823344;174,406686692242;178,058184795509;102,093668638812;-0,0168745282985885
1956;1,22732640023342;0,000304845927272727;2,64447558136818e-05;2,29062395132627e-05;0,000301307410972308;2,05779568282531e-05;1,76804858955392e-05;0,000304204881905022;-6,41045367705316e-07;-0,00210285035932861;0,0290000000000001;0,026836166980251;-0,0021638330197491;1,0081433551284;179,464480606317;182,836583974882;101,87898093103;-0,00210285035932867
1957;1,1271288544716;0,000402954654545455;2,4125201851836e-05;2,62359016383244e-05;0,000405065354331943;2,24320088013233e-05;2,4784791333646e-05;0,000402712571799621;-2,42082745834343e-07;-0,000600769200959893;0,077;0,0763529715705662;-0,000647028429433802;0,98425569901595;193,283245613003;196,796700473175;101,817775177061;-0,000600769200959639
